0,en,English
1,fr,Français
2,es,Español
3,de,Deutsch
4,ru,Pусский
5,la,Latin
6,nl,Nederlands
7,cn,广州话 / 廣州話
8,zh,普通话
9,hu,Magyar
10,sq,shqip
11,it,Italiano
12,ko,한국어/조선말
13,fa,فارسی
14,da,Dansk
15,gd,
16,ja,日本語
17,ar,العربية
18,hr,Hrvatski
19,bs,Bosanski
20,ro,Română
21,id,Bahasa indonesia
22,ms,Bahasa melayu
23,sv,svenska
24,he,עִבְרִית
25,cs,Český
26,pl,Polski
27,ga,Gaeilge
28,no,Norsk
29,sk,Slovenčina
30,vi,Tiếng Việt
31,pt,Português
32,hi,हिन्दी
33,ca,Català
34,is,Íslenska
35,af,Afrikaans
36,sr,Srpski
37,bn,বাংলা
38,wo,Wolof
39,cy,Cymraeg
40,th,ภาษาไทย
41,lv,Latviešu
42,sw,Kiswahili
43,bg,български език
44,el,ελληνικά
45,tr,Türkçe
46,fi,suomi
47,eo,Esperanto
48,uk,Український
49,ka,ქართული
50,nb,Bokmål
51,xx,No Language
52,eu,euskera
53,az,Azərbaycan
54,mt,Malti
55,ur,اردو
56,zu,isiZulu
57,bm,Bamanankan
58,ps,پښتو
59,so,Somali
60,pa,ਪੰਜਾਬੀ
61,be,беларуская мова
62,ta,தமிழ்
63,gl,Galego
64,rw,Kinyarwanda
65,kk,қазақ
66,et,Eesti
67,lt,Lietuvi
68,sl,Slovenščina
69,te,తెలుగు
70,ff,Fulfulde
71,ky,??????
72,kn,?????
73,uz,ozbek
74,ha,Hausa
